Proxy,Protocol,Latency (s),Speed (MB/s),Score
23.237.210.82:80,http,0.125,1.37,10.12
8.221.139.222:9098,socks5,7.058,0.00,0.00
4.245.123.244:80,http,0.404,1.16,2.81
108.141.130.146:80,http,0.352,1.03,2.85
141.98.153.86:80,http,0.380,0.82,2.09
47.89.159.212:13,socks5,7.234,0.00,0.00
206.220.175.2:4145,socks5,2.885,1.09,0.38
47.76.144.139:4002,socks5,6.788,0.00,0.00
192.73.244.36:80,http,7.069,0.53,0.08
78.47.127.91:80,http,0.377,0.51,1.32
184.181.217.210:4145,socks5,1.838,1.07,0.58
38.190.100.236:999,http,6.232,0.46,0.07
8.211.49.86:1080,socks5,9.176,0.00,0.00
142.54.228.193:4145,socks5,1.634,0.95,0.58
8.211.51.115:1080,socks5,9.161,0.00,0.00
147.28.240.214:9443,http,0.381,0.44,1.13
147.28.240.217:443,http,0.321,0.42,1.25
142.54.239.1:4145,socks5,2.133,0.60,0.28
94.130.104.137:8080,http,2.912,0.37,0.13
68.71.254.6:4145,socks5,1.841,1.03,0.56
68.71.249.158:4145,socks5,0.949,0.35,0.37
147.28.240.216:9443,http,0.386,0.34,0.87
164.163.42.29:10000,http,6.819,0.34,0.05
147.28.240.215:80,http,0.364,0.34,0.90
8.221.139.222:3128,socks5,8.123,0.00,0.00
72.195.114.184:4145,socks5,2.125,0.35,0.16
199.102.104.70:4145,socks5,1.449,0.78,0.53
199.187.210.54:4145,socks5,0.908,0.32,0.35
68.71.243.14:4145,socks5,0.944,0.32,0.33
142.54.229.249:4145,socks5,0.947,0.32,0.33
147.28.240.218:9400,http,0.367,0.32,0.84
72.37.217.3:4145,socks5,0.944,0.32,0.33
162.253.68.97:4145,socks5,1.562,0.61,0.39
192.111.139.163:19404,socks5,2.109,0.30,0.14
164.163.42.43:10000,http,0.772,0.28,0.36
147.28.240.215:9443,http,0.329,0.28,0.84
68.71.252.38:4145,socks5,0.935,0.28,0.30
192.252.220.92:17328,socks5,0.897,0.27,0.30
192.111.135.17:18302,socks5,2.635,0.65,0.25
147.28.240.216:9400,http,0.340,0.27,0.77
8.221.141.88:1200,socks5,8.375,0.00,0.00
192.252.209.155:14455,socks5,2.372,1.08,0.45
199.102.105.242:4145,socks5,0.925,0.26,0.28
147.28.240.214:443,http,0.368,0.26,0.70
147.28.240.216:443,http,0.375,0.26,0.67
72.195.34.42:4145,socks5,1.888,0.37,0.19
147.28.240.210:9443,http,0.362,0.26,0.69
8.221.138.111:5060,socks5,7.747,0.00,0.00
142.54.236.97:4145,socks5,1.109,1.71,1.53
68.71.240.210:4145,socks5,0.927,0.24,0.25
184.170.249.65:4145,socks5,2.301,0.24,0.11
104.200.135.46:4145,socks5,1.083,1.29,1.18
8.210.17.35:8002,socks5,7.875,0.00,0.00
147.28.240.210:9401,http,0.331,0.23,0.67
192.252.208.70:14282,socks5,1.064,1.87,1.74
147.28.240.210:80,http,0.328,0.23,0.67
68.1.210.189:4145,socks5,1.286,1.13,0.87
147.28.240.218:443,http,0.365,0.22,0.58
24.249.199.4:4145,socks5,2.479,1.42,0.57
174.77.111.198:49547,socks5,2.062,1.28,0.62
103.138.145.34:80,http,0.678,0.21,0.31
107.181.168.145:4145,socks5,2.392,1.23,0.51
192.252.220.92:17328,socks5,1.904,1.31,0.68
147.28.240.215:443,http,0.368,0.21,0.55
74.119.144.60:4145,socks5,2.198,1.93,0.87
164.163.42.22:10000,http,0.700,0.20,0.29
74.119.147.209:4145,socks5,1.643,1.36,0.82
142.54.235.9:4145,socks5,2.619,0.58,0.22
192.111.138.29:4145,socks5,2.587,1.00,0.38
184.178.172.5:15303,socks5,2.196,1.11,0.50
184.178.172.14:4145,socks5,1.742,1.16,0.66
147.28.240.217:80,http,0.377,0.20,0.51
4.195.16.140:80,http,2.580,0.20,0.08
139.59.234.208:52873,socks5,6.839,0.64,0.09
72.195.34.58:4145,socks5,2.144,0.32,0.15
47.91.29.151:90,socks5,6.641,0.00,0.00
142.54.231.38:4145,socks5,2.131,1.81,0.85
47.89.159.212:8010,socks5,7.434,0.00,0.00
147.28.240.216:9401,http,0.318,0.18,0.56
147.28.240.217:9400,http,0.440,0.18,0.41
68.71.249.153:48606,socks5,2.359,1.84,0.78
142.54.226.214:4145,socks5,2.265,1.45,0.64
147.28.240.215:9401,http,0.371,0.18,0.47
192.111.130.2:4145,socks5,2.920,1.31,0.45
98.188.47.150:4145,socks5,2.538,1.61,0.63
198.8.84.3:4145,socks5,3.204,1.94,0.60
147.28.240.213:80,http,0.347,0.17,0.48
184.178.172.13:15311,socks5,1.264,2.96,2.32
208.102.51.6:58208,socks5,2.542,0.33,0.13
184.178.172.3:4145,socks5,0.810,4.00,4.88
47.238.130.212:8008,socks5,6.921,0.00,0.00
199.116.114.11:4145,socks5,0.792,1.97,2.46
47.76.144.139:8443,socks5,7.767,0.00,0.00
184.178.172.26:4145,socks5,1.123,1.61,1.42
142.54.232.6:4145,socks5,1.353,1.97,1.45
184.181.217.201:4145,socks5,0.806,1.32,1.62
192.111.137.37:18762,socks5,1.873,2.33,1.24
47.238.130.212:8002,socks5,7.013,0.00,0.00
104.37.135.145:4145,socks5,1.113,2.79,2.49
192.111.137.34:18765,socks5,1.043,2.86,2.72
184.178.172.23:4145,socks5,1.256,1.37,1.09
192.111.134.10:4145,socks5,1.098,3.04,2.75
47.238.130.212:20000,socks5,6.760,0.00,0.00
174.64.199.79:4145,socks5,1.205,2.38,1.96
8.213.134.213:10000,socks5,7.043,0.00,0.00
199.102.107.145:4145,socks5,0.839,1.84,2.17
147.28.240.215:9400,http,0.327,0.13,0.39
