154.16.146.47:80  # latency=0.76s, 500KB=1.59s
123.141.181.86:5031  # latency=2.17s, 500KB=3.72s
103.86.109.38:80  # latency=1.52s, 500KB=5.13s
89.58.45.94:38335  # latency=3.24s, 500KB=3.59s
89.58.45.94:34732  # latency=1.84s, 500KB=3.30s
154.16.146.43:80  # latency=0.94s, 500KB=1.36s
89.58.45.94:35479  # latency=4.79s, 500KB=3.62s
20.204.43.57:80  # latency=2.53s, 500KB=5.03s
38.147.98.190:8080  # latency=0.59s, 500KB=3.20s
45.186.6.104:3128  # latency=1.62s, 500KB=5.27s
154.16.146.45:80  # latency=0.53s, 500KB=1.24s
154.118.231.30:80  # latency=1.70s, 500KB=3.00s
38.250.126.201:999  # latency=1.13s, 500KB=4.88s
103.153.39.35:8083  # latency=1.22s, 500KB=8.13s
154.16.146.42:80  # latency=0.54s, 500KB=0.84s
164.163.42.17:10000  # latency=4.70s, 500KB=6.15s
14.241.80.37:8080  # latency=1.87s, 500KB=12.07s
164.163.42.14:10000  # latency=6.15s, 500KB=6.22s
164.163.42.45:10000  # latency=8.78s, 500KB=5.71s
164.163.43.102:10000  # latency=3.94s, 500KB=3.67s
219.93.101.63:80  # latency=1.77s, 500KB=2.90s
164.163.42.40:10000  # latency=1.17s, 500KB=2.37s
164.163.42.2:10000  # latency=1.16s, 500KB=3.86s
152.53.168.53:36892  # latency=4.61s, 500KB=6.34s
154.16.146.48:80  # latency=0.85s, 500KB=3.84s
103.56.113.176:8888  # latency=2.08s, 500KB=11.11s
154.16.146.44:80  # latency=1.92s, 500KB=1.95s
133.18.234.13:80  # latency=1.91s, 500KB=10.40s
8.243.67.190:8080  # latency=1.28s, 500KB=10.86s
152.53.194.55:11153  # latency=3.59s, 500KB=7.13s
89.58.45.94:36989  # latency=1.47s, 500KB=3.31s
152.53.168.53:10074  # latency=3.77s, 500KB=10.55s
37.187.74.125:80  # latency=0.82s, 500KB=3.97s
23.247.136.248:80  # latency=1.24s, 500KB=2.09s
154.16.146.46:80  # latency=0.85s, 500KB=2.40s
89.58.45.94:16379  # latency=2.80s, 500KB=3.65s
219.93.101.60:80  # latency=2.01s, 500KB=3.90s
